Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total ether sent,ERC20 total Ether sent contract,ERC20 uniq sent addr,ERC20 uniq rec addr,ERC20 uniq rec contract addr,ERC20 min val rec,ERC20 uniq sent token name,FLAG
844.26,1093.71,704785.63,721,89,0,40,118,0.0,45.806785,6.589513,0.0,31.22,1.200681,810,865.6910932,586.4666748,-279.2244185,265.0,35588543.78,35603169.52,0.0,30.0,54.0,58.0,0.0,39.0,0
12709.07,2958.44,1218216.73,94,8,0,5,14,0.0,2.613269,0.385685,0.0,1.8,0.032844,102,3.08729702,3.085478209,-0.001818811,8.0,403.4283054,2.260809454,0.0,1.0,5.0,7.0,0.0,1.0,0
10219.6,15785.09,397555.9,25,9,0,7,13,0.0,500.0,99.48884,0.0,450.0,70.001834,34,1750.0458620000004,895.399559,-854.6463028999998,14.0,17111.05191,11412.23068,0.0,2.0,11.0,11.0,0.0,1.0,0
36.61,10707.77,382472.42,4598,20,1,7,19,0.0,12.802411,2.671095,0.0,9.0,0.022688,4619,104.3188828,53.4218965,-50.89698629,42.0,162829.6609,123539.9329,0.0,4.0,23.0,27.0,0.0,6.0,0
0.0,12431.27,198900.25,0,16,1,4,0,0.0,1.002069,0.769166,0.0,0.0,0.0,17,0.0,12.30665958,12.30665958,2.0,0.181283664,0.0,0.0,0.0,2.0,2.0,0.0753669999999999,0.0,0
9520.7,5776.32,78197.58,7,2,0,2,4,0.095,0.265159,0.180079,0.0,0.133441,0.037563,9,0.262941117,0.36015854,0.097217423,3.0,8.001,0.0,0.0,0.0,2.0,2.0,0.001,0.0,0
14106.66,3742.82,540061.9,32,24,0,11,21,0.0,1499.9995800000004,77.125266,0.0,1100.0,102.312148,56,3273.988723,1851.0063760000005,-1422.982347,33.0,139827.7923,133086.5,0.0,4.0,23.0,26.0,0.0,4.0,0
3.13,4923.24,280803.43,57,57,0,2,2,0.016037,0.277689,0.204013,0.015617,0.277269,0.203593,114,11.6048114,11.6287514,0.023940002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27681.45,11171.03,842599.05,26,11,0,6,15,0.09,34.94,16.564688,0.0,34.9,9.896423,37,257.307,182.2115661,-75.09543387,13.0,308440.3104,307097.3104,0.0,4.0,8.0,7.0,0.0,3.0,0
163.78,1.11,329.78,2,2,0,2,2,44.048882,56.95111800000001,50.5,0.61,100.388974,50.499487,4,100.9989738,101.0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,6324.45,113840.02,0,18,1,5,0,0.0,12.782766,5.662421,0.0,0.0,0.0,19,0.0,101.9235724,101.9235724,2.0,4.983578382,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0
725.77,41108.66,292841.02,7,7,0,4,3,0.0,17.949074,8.407243,2.0,30.950276,22.441764000000006,14,157.09235049999995,58.85070376,-98.24164672,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
2477.34,6928.28,892782.2,8,126,0,1,2,0.013556,0.501254,0.342666,0.1,2.0,1.2625,134,10.1,43.17587621,33.07587621,16.0,2765.749578,100.0,0.0,1.0,9.0,15.0,0.0,1.0,0
0.0,13339.9,226778.27,0,17,1,6,0,0.0,11.291416,4.860215,0.0,0.0,0.0,18,0.0,82.62366163,82.62366163,3.0,4.804121022,0.0,0.0,0.0,3.0,3.0,0.920501,0.0,0
0.0,0.0,30.65,1,1,0,1,1,4.999,4.999,4.999,4.99774,4.99774,4.99774,2,4.99774,4.999,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1797.42,60933.08,330187.83,82,3,0,3,7,0.0,30.0,11.666667,0.0,30.0,0.760256,85,62.341,35.0,-27.341,11.0,1473.843474,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0
0.0,0.0,68.87,1,1,0,1,1,0.5476489999999999,0.5476489999999999,0.5476489999999999,0.546389,0.546389,0.546389,2,0.54638892,0.54764892,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
155.22,112602.93,338429.65,4,3,0,3,3,0.0,2.337156,1.512385,2.0,2.379635,2.104909,7,8.419634776,4.5371564000000015,-3.882478376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14626.26,6594.93,955278.0,59,14,0,7,34,0.00979,1100.0,167.979641,0.0,500.0,43.052269,73,2540.083853,2351.714972,-188.368881,48.0,1555219.09,1545239.0280000004,0.0,12.0,26.0,23.0,0.0,11.0,0
0.0,5498.63,291427.53,0,53,1,4,0,0.0,1.002204,0.504895,0.0,0.0,0.0,54,0.0,26.75944516,26.75944516,2.0,0.55819781,0.0,0.0,0.0,2.0,2.0,0.10587,0.0,0
3.33,51068.75,561789.58,10,11,0,8,1,0.022663,20.799,5.11114,0.923126,20.797915,5.621492,21,56.21491815,56.22253457,0.00761642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45.91,58.88,450106.65,5970,2989,0,1337,2212,0.0,3140.99958,74.622817,0.0,3900.0,37.84572100000001,8959,225938.9558,223047.6014,-2891.354427,325.0,139793.7886,137260.2674,0.0,21.0,295.0,15.0,0.0,6.0,0
0.0,0.0,4.87,1,1,0,1,1,0.003,0.003,0.003,0.0,0.0,0.0,2,0.0,0.003,0.003,2.0,3.75e-12,5e-15,0.0,1.0,1.0,1.0,0.0,1.0,0
1067.84,128.81,636162.82,68,4375,0,1,4,0.443993,3.602495,1.055731,0.0,520.8121679999998,67.923395,4443,4618.790832,4618.823828000001,0.03299662,10.0,1444.347483,4.431401966,0.0,2.0,8.0,8.0,0.0,1.0,0
1051.87,85496.6,345142.02,3,4,0,2,3,0.0,3.508474,1.395953,0.0069999999999999,5.544,3.683667,7,11.050999999999998,5.583810700000001,-5.4671892999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.12,0.92,21206.93,9996,4,3,3,2,1.0,20.0,11.0,0.0,0.0,0.0,10003,0.0,44.0,44.0,35.0,3106124509.0,100.0,0.0,1.0,25.0,31.0,0.0,1.0,0
17441.04,1245.91,160707.1,9,3,0,2,4,1.0,49.995,18.996667,0.0,20.0,6.226376,12,56.03738689,56.99,0.952613114,13.0,122017.8964,120100.0,0.0,1.0,6.0,9.0,0.0,1.0,0
45561.42,26284.49,802574.4,13,8,0,7,5,0.0,45.4,21.925,0.0,99.0,20.32769200000001,21,264.26,175.4,-88.86,15.0,21167.384,636100.0,0.0,4.0,6.0,6.0,1.0,2.0,0
